"oltIp","port","onuId","interfaceName","serialNumber","description"
"172.17.0.206","4","0","onu 1101.4.0","ADTN12345678","onu-0/4-0 - Dummy ONT"
"172.17.0.206","7","20","onu 1101.7.20","ADTN201166F6","onu-0/7-20 - 20 HAZEL CRESCENT, PETERLEE, SR8 3HP"
"172.17.0.207","1","127","onu 1101.1.127","ADTN12345678","onu-0/1-127 - initial provision"
"172.17.0.207","2","127","onu 1101.2.127","ADTN12345678","onu-0/2-127 - initial provision"
"172.17.0.207","3","127","onu 1101.3.127","ADTN12345678","onu-0/3-127 - initial provision"
"172.17.0.207","4","127","onu 1101.4.127","ADTN12345678","onu-0/4-127 - initial provision"
"172.17.0.207","5","127","onu 1101.5.127","ADTN12345678","onu-0/5-127 - initial provision"
"172.17.0.207","6","127","onu 1101.6.127","ADTN12345678","onu-0/6-127 - initial provision"
"172.17.0.207","7","127","onu 1101.7.127","ADTN12345678","onu-0/7-127 - initial provision"
"172.17.0.207","8","127","onu 1101.8.127","ADTN12345678","onu-0/8-127 - initial provision"
"172.17.0.207","9","127","onu 1101.9.127","ADTN12345678","onu-0/9-127 - initial provision"
"172.17.0.207","10","127","onu 1101.10.127","ADTN12345678","onu-0/10-127 - initial provision"
"172.17.0.207","11","127","onu 1101.11.127","ADTN12345678","onu-0/11-127 - initial provision"
"172.17.0.207","12","127","onu 1101.12.127","ADTN12345678","onu-0/12-127 - initial provision"
"172.17.0.207","13","127","onu 1101.13.127","ADTN12345678","onu-0/13-127 - initial provision"
"172.17.0.207","14","127","onu 1101.14.127","ADTN12345678","onu-0/14-127 - initial provision"
"172.17.0.207","15","127","onu 1101.15.127","ADTN12345678","onu-0/15-127 - initial provision"
"172.17.1.3","1","127","onu 1101.1.127","ADTN12345678","onu-0/1-127 - initial provision"
"172.17.1.3","2","127","onu 1101.2.127","ADTN12345678","onu-0/2-127 - initial provision"
"172.17.1.3","3","127","onu 1101.3.127","ADTN12345678","onu-0/3-127 - initial provision"
"172.17.1.3","4","127","onu 1101.4.127","ADTN12345678","onu-0/4-127 - initial provision"
"172.17.1.3","5","127","onu 1101.5.127","ADTN12345678","onu-0/5-127 - initial provision"
"172.17.1.3","6","127","onu 1101.6.127","ADTN12345678","onu-0/6-127 - initial provision"
"172.17.1.3","7","127","onu 1101.7.127","ADTN12345678","onu-0/7-127 - initial provision"
"172.17.1.3","8","127","onu 1101.8.127","ADTN12345678","onu-0/8-127 - initial provision"
"172.17.1.3","9","127","onu 1101.9.127","ADTN12345678","onu-0/9-127 - initial provision"
"172.17.1.3","10","127","onu 1101.10.127","ADTN12345678","onu-0/10-127 - initial provision"
"172.17.1.3","11","127","onu 1101.11.127","ADTN12345678","onu-0/11-127 - initial provision"
"172.17.1.3","12","127","onu 1101.12.127","ADTN12345678","onu-0/12-127 - initial provision"
"172.17.1.3","13","127","onu 1101.13.127","ADTN12345678","onu-0/13-127 - initial provision"
"172.17.1.3","14","127","onu 1101.14.127","ADTN12345678","onu-0/14-127 - initial provision"
"172.17.1.3","15","127","onu 1101.15.127","ADTN12345678","onu-0/15-127 - initial provision"
"172.17.1.3","16","127","onu 1101.0.127","ADTN12345678","onu-0/0-127 - initial provision"
"172.17.0.208","1","1","onu 1101.1.1","ADTN20111E5F","onu-0/1-1 - Feka Test ONT02"
"172.17.1.2","1","127","onu 1101.1.127","ADTN12345678","onu-0/1-127 - initial provision"
"172.17.1.2","2","127","onu 1101.2.127","ADTN12345678","onu-0/2-127 - initial provision"
"172.17.1.2","3","127","onu 1101.3.127","ADTN12345678","onu-0/3-127 - initial provision"
"172.17.1.2","4","127","onu 1101.4.127","ADTN12345678","onu-0/4-127 - initial provision"
"172.17.1.2","5","127","onu 1101.5.127","ADTN12345678","onu-0/5-127 - initial provision"
"172.17.1.2","6","127","onu 1101.6.127","ADTN12345678","onu-0/6-127 - initial provision"
"172.17.1.2","7","127","onu 1101.7.127","ADTN12345678","onu-0/7-127 - initial provision"
"172.17.1.2","8","127","onu 1101.8.127","ADTN12345678","onu-0/8-127 - initial provision"
"172.17.1.2","9","127","onu 1101.9.127","ADTN12345678","onu-0/9-127 - initial provision"
"172.17.1.2","10","127","onu 1101.10.127","ADTN12345678","onu-0/10-127 - initial provision"
"172.17.1.2","11","127","onu 1101.11.127","ADTN12345678","onu-0/11-127 - initial provision"
"172.17.1.2","12","127","onu 1101.12.127","ADTN12345678","onu-0/12-127 - initial provision"
"172.17.1.2","13","127","onu 1101.13.127","ADTN12345678","onu-0/13-127 - initial provision"
"172.17.1.2","14","127","onu 1101.14.127","ADTN12345678","onu-0/14-127 - initial provision"
"172.17.1.2","15","127","onu 1101.15.127","ADTN12345678","onu-0/15-127 - initial provision"
"172.17.1.2","16","127","onu 1101.0.127","ADTN12345678","onu-0/0-127 - initial provision"
"172.17.1.6","10","1","onu 1101.10.1","ADTN11112222","onu-0/10-1 - Dummy ONT"
"172.17.1.6","9","2","onu 1101.9.2","ADTN11112222","onu-0/9-2 - Dummy ONT"
"172.17.1.6","12","2","onu 1101.12.2","ADTN88888899","onu-0/12-2 - Dummy ONU"
"172.17.1.6","12","4","onu 1101.12.4","ADTN88888999","onu-0/12-4 - Dummy ONU"
"172.17.1.6","15","2","onu 1101.15.2","ADTN88889999","onu-0/15-2 - Dummy ONU"
"172.17.1.6","15","3","onu 1101.15.3","ADTN88899999","onu-0/15-3 - Dummy ONU"
"172.17.1.6","12","5","onu 1101.12.5","ADTN88899991","onu-0/12-5 - Dummy ONU"
